frame,timestamp_s,label,x1,y1,x2,y2,conf
156,5.133,None,294,135,319,319,0.565
157,5.133,None,292,136,320,319,0.528
158,5.267,None,0,126,97,319,0.914
159,5.267,None,294,135,319,319,0.561
160,5.267,chair,167,263,211,319,0.547
161,5.267,None,292,136,320,319,0.541
162,5.400,None,0,124,97,319,0.919
163,5.400,chair,165,263,211,319,0.599
164,5.400,None,294,136,319,319,0.565
165,5.400,None,292,137,320,319,0.543
166,5.533,None,0,124,97,319,0.925
167,5.533,chair,165,263,212,319,0.620
168,5.533,None,295,135,319,319,0.573
169,5.533,None,293,137,320,319,0.541
170,5.667,None,0,124,97,319,0.923
171,5.667,chair,165,263,212,319,0.599
172,5.667,None,295,135,319,319,0.555
173,5.667,None,293,137,320,319,0.550
174,5.800,None,0,123,97,319,0.921
175,5.800,chair,165,263,212,319,0.617
176,5.800,None,295,135,319,320,0.561
177,5.800,None,293,137,320,319,0.546
178,5.933,None,0,123,97,319,0.927
179,5.933,chair,165,263,212,319,0.614
180,5.933,None,295,135,319,320,0.543
181,5.933,None,292,137,320,319,0.541
182,6.067,None,0,122,96,319,0.924
183,6.067,chair,165,263,212,319,0.608
184,6.067,None,295,135,319,320,0.548
185,6.067,None,292,137,320,319,0.533
186,6.200,None,0,122,96,319,0.927
187,6.200,chair,165,263,212,319,0.623
188,6.200,None,294,135,319,319,0.545
189,6.200,None,292,137,320,319,0.531
190,6.333,None,0,122,96,319,0.928
191,6.333,chair,165,263,212,319,0.612
192,6.333,None,295,135,319,320,0.552
193,6.333,None,292,136,320,319,0.529
194,6.467,None,0,122,95,319,0.928
195,6.467,chair,165,263,211,319,0.586
196,6.467,None,295,135,319,319,0.553
197,6.467,None,292,136,320,319,0.524
198,6.600,None,0,122,95,319,0.926
199,6.600,chair,165,263,212,319,0.594
200,6.600,None,295,135,319,319,0.560
201,6.600,None,292,136,320,319,0.522
202,6.733,None,0,121,94,319,0.929
203,6.733,chair,165,263,212,319,0.591
204,6.733,None,295,135,319,320,0.552
205,6.733,None,292,136,320,319,0.533
206,6.867,None,0,121,94,319,0.928
207,6.867,chair,165,263,212,319,0.596
208,6.867,None,295,135,319,320,0.559
209,6.867,None,292,136,320,319,0.533
210,7.000,None,0,120,93,319,0.923
211,7.000,chair,165,263,212,319,0.591
212,7.000,None,295,135,319,319,0.552
213,7.000,None,292,136,320,319,0.527
214,7.133,None,0,118,93,319,0.920
215,7.133,chair,165,263,212,319,0.559
216,7.133,None,295,135,319,319,0.557
217,7.133,None,292,136,320,319,0.521
218,7.267,None,0,117,92,319,0.914
219,7.267,chair,164,263,212,319,0.592
220,7.267,None,295,135,319,320,0.561
221,7.267,None,292,136,320,319,0.530
222,7.400,None,0,117,91,319,0.917
223,7.400,chair,165,263,212,319,0.570
224,7.400,None,295,135,319,320,0.566
225,7.400,None,293,136,320,319,0.532
226,7.533,None,0,117,89,319,0.920
227,7.533,None,295,135,319,319,0.574
228,7.533,chair,164,263,212,319,0.564
229,7.533,None,293,136,320,319,0.530
230,7.533,chair,162,262,211,319,0.413
231,7.700,None,0,117,87,319,0.922
232,7.700,None,295,135,319,320,0.573
233,7.700,None,293,136,320,319,0.527
234,7.700,chair,162,262,211,319,0.510
235,7.833,None,0,118,86,319,0.921
236,7.833,None,295,135,319,319,0.574
237,7.833,None,293,136,320,319,0.516
238,7.833,chair,162,262,211,319,0.514
239,7.967,None,0,118,85,319,0.916
240,7.967,None,295,135,319,319,0.581
241,7.967,chair,165,263,212,319,0.573
242,7.967,None,293,136,320,319,0.506
243,8.100,None,0,118,84,319,0.919
244,8.100,None,295,134,319,319,0.569
245,8.100,chair,165,263,212,319,0.563
246,8.100,None,293,136,320,319,0.508
247,8.233,None,0,119,84,319,0.918
248,8.233,chair,165,263,212,319,0.579
249,8.233,None,295,134,319,319,0.550
250,8.233,None,293,136,320,319,0.504
251,8.367,None,0,119,82,319,0.922
252,8.367,chair,166,263,212,319,0.571
253,8.367,None,296,135,319,319,0.561
254,8.367,None,293,136,320,319,0.498
255,8.500,None,0,120,82,319,0.916
256,8.500,chair,165,263,212,319,0.587
257,8.500,None,296,135,319,319,0.571
258,8.500,None,293,136,320,319,0.495
259,8.633,None,0,119,83,319,0.918
260,8.633,chair,165,263,212,319,0.579
261,8.633,None,296,135,319,319,0.574
262,8.633,None,293,136,320,319,0.484
263,8.767,None,0,118,84,319,0.922
264,8.767,chair,165,263,212,319,0.581
265,8.767,None,296,135,319,319,0.569
266,8.767,None,293,136,320,319,0.493
267,8.900,None,0,116,84,319,0.927
268,8.900,chair,165,263,212,319,0.581
269,8.900,None,295,135,319,319,0.575
270,8.900,None,293,136,320,319,0.492
271,9.033,None,0,116,86,319,0.927
272,9.033,None,296,135,319,319,0.575
273,9.033,chair,162,262,212,319,0.493
274,9.033,None,293,136,320,319,0.484
275,9.033,chair,166,263,212,319,0.484
276,9.200,None,0,114,86,319,0.930
277,9.200,None,296,135,319,319,0.576
278,9.200,chair,166,263,212,319,0.523
279,9.200,None,293,136,320,319,0.491
280,9.333,None,0,112,88,319,0.936
281,9.333,None,297,135,319,319,0.583
282,9.333,chair,166,263,212,319,0.542
283,9.333,None,293,136,320,319,0.497
284,9.467,None,0,109,88,319,0.936
285,9.467,None,297,135,319,319,0.586
286,9.467,chair,166,263,212,319,0.519
287,9.467,None,294,136,320,319,0.499
288,9.600,None,0,106,88,319,0.935
289,9.600,None,297,135,319,319,0.585
290,9.600,None,294,136,320,319,0.481
291,9.600,chair,163,262,211,319,0.480
292,9.600,chair,167,263,212,319,0.441
293,9.767,None,0,104,86,319,0.938
294,9.767,None,297,135,319,319,0.582
295,9.767,chair,166,263,212,319,0.538
296,9.767,None,294,136,320,319,0.490
297,9.900,None,0,102,87,319,0.938
298,9.900,chair,164,263,212,319,0.610
299,9.900,None,296,135,319,319,0.572
300,9.900,None,294,136,319,319,0.519
301,10.033,None,0,100,87,319,0.937
302,10.033,chair,165,263,212,319,0.573
303,10.033,None,296,135,319,320,0.548
304,10.033,None,293,136,319,319,0.529
305,10.167,None,0,99,87,319,0.926
306,10.167,chair,164,263,212,319,0.583
307,10.167,None,295,135,319,319,0.565
308,10.167,None,293,136,320,319,0.519
309,10.300,None,0,98,87,319,0.925
310,10.300,chair,164,263,212,319,0.610
311,10.300,None,295,135,319,319,0.574
312,10.300,None,293,137,320,319,0.510
313,10.433,None,0,97,87,319,0.928
314,10.433,chair,164,263,212,319,0.601
315,10.433,None,295,136,319,319,0.575
316,10.433,None,293,137,320,319,0.512
317,10.567,None,0,96,88,318,0.924
318,10.567,chair,164,263,212,319,0.580
319,10.567,None,295,136,319,319,0.567
320,10.567,None,293,137,320,319,0.503
321,10.700,None,0,95,88,318,0.925
322,10.700,chair,164,263,212,319,0.621
323,10.700,None,294,136,319,319,0.567
324,10.700,None,293,137,320,319,0.485
325,10.833,None,0,94,87,319,0.927
326,10.833,chair,163,263,212,319,0.615
327,10.833,None,294,136,319,319,0.556
328,10.833,None,292,137,320,319,0.497
329,10.967,None,0,94,87,318,0.926
330,10.967,chair,164,263,212,319,0.611
331,10.967,None,294,136,319,319,0.551
332,10.967,None,293,137,320,319,0.523
333,11.100,None,0,93,87,318,0.927
334,11.100,chair,163,263,212,319,0.604
335,11.100,None,295,136,319,319,0.544
336,11.100,None,293,137,320,319,0.529
337,11.233,None,0,93,87,319,0.928
338,11.233,chair,163,263,212,319,0.579
339,11.233,None,295,136,319,319,0.557
340,11.233,None,293,137,319,319,0.532
341,11.367,None,0,94,88,319,0.928
342,11.367,chair,163,263,212,319,0.596
343,11.367,None,293,137,319,319,0.539
344,11.367,None,295,136,319,319,0.536
345,11.500,None,0,95,87,319,0.929
346,11.500,chair,162,263,212,319,0.533
347,11.500,None,293,137,319,319,0.530
348,11.500,None,295,136,319,319,0.527
349,11.633,None,0,98,87,319,0.928
350,11.633,None,293,137,319,319,0.530
351,11.633,chair,162,263,212,319,0.526
352,11.633,None,295,136,319,319,0.524
353,11.767,None,0,100,87,319,0.929
354,11.767,chair,162,263,211,319,0.535
355,11.767,None,293,137,319,319,0.534
356,11.767,None,295,136,319,319,0.533
357,11.900,None,0,103,87,319,0.925
358,11.900,chair,165,263,212,319,0.579
359,11.900,None,295,136,319,319,0.539
360,11.900,None,293,137,320,319,0.512
361,12.033,None,0,107,87,319,0.922
362,12.033,chair,165,263,212,319,0.592
363,12.033,None,295,136,319,319,0.545
364,12.033,None,293,137,320,319,0.514
365,12.167,None,0,111,87,319,0.919
366,12.167,chair,165,263,212,319,0.601
367,12.167,None,296,136,319,319,0.547
368,12.167,None,293,137,320,319,0.523
369,12.300,None,0,115,89,320,0.926
370,12.300,chair,166,263,212,319,0.593
371,12.300,None,295,135,319,319,0.545
372,12.300,None,293,137,320,319,0.529
373,12.433,None,0,117,90,320,0.923
374,12.433,chair,166,263,212,319,0.600
375,12.433,None,296,135,319,319,0.532
376,12.433,None,293,137,320,319,0.526
377,12.567,None,0,119,91,320,0.924
378,12.567,None,293,137,320,319,0.531
379,12.567,None,296,135,319,319,0.521
380,12.567,chair,169,263,212,319,0.502
381,12.567,chair,163,263,211,319,0.483
382,12.733,None,0,121,92,320,0.927
383,12.733,None,292,136,320,319,0.528
384,12.733,None,295,135,319,319,0.495
385,12.733,chair,171,263,212,319,0.484
386,12.733,chair,163,262,211,319,0.465
387,12.900,None,0,121,93,320,0.927
388,12.900,None,292,136,320,319,0.513
389,12.900,None,295,135,319,319,0.497
390,12.900,chair,163,262,211,319,0.495
391,12.900,chair,170,263,212,319,0.493
392,13.067,None,0,121,95,320,0.933
393,13.067,chair,169,263,212,319,0.542
394,13.067,None,296,135,319,319,0.523
395,13.067,None,293,136,320,319,0.511
396,13.200,None,0,121,96,320,0.935
397,13.200,None,296,135,319,319,0.544
398,13.200,chair,169,263,212,319,0.503
399,13.200,None,293,137,319,319,0.500
400,13.200,chair,163,262,212,319,0.456
401,13.367,None,0,120,97,320,0.935
402,13.367,None,296,135,319,319,0.552
403,13.367,None,293,136,319,319,0.509
404,13.367,chair,169,263,212,319,0.490
405,13.367,chair,163,262,212,319,0.452
406,13.533,None,0,120,99,320,0.933
407,13.533,None,295,135,319,319,0.543
408,13.533,None,293,136,320,319,0.505
409,13.533,chair,169,263,212,319,0.494
410,13.533,chair,163,262,212,319,0.454
411,13.700,None,0,120,100,320,0.931
412,13.700,None,295,135,319,319,0.536
413,13.700,None,292,136,320,319,0.484
414,13.700,chair,168,263,212,319,0.477
415,13.700,chair,163,262,212,319,0.467
416,13.867,None,0,119,102,320,0.933
417,13.867,None,295,135,319,319,0.543
418,13.867,None,292,136,320,319,0.487
419,13.867,chair,167,263,212,319,0.487
420,13.867,chair,163,262,212,319,0.460
421,14.033,None,0,119,103,319,0.926
422,14.033,None,295,135,319,319,0.529
423,14.033,None,292,136,319,319,0.473
424,14.033,chair,163,262,212,319,0.446
425,14.167,None,0,119,105,320,0.937
426,14.167,None,295,135,319,319,0.533
427,14.167,None,292,137,319,319,0.481
428,14.167,chair,162,262,212,319,0.453
429,14.300,None,0,117,106,320,0.941
430,14.300,None,295,135,319,319,0.542
431,14.300,chair,162,262,212,319,0.496
432,14.300,None,292,137,319,319,0.492
433,14.433,None,0,114,107,320,0.942
434,14.433,None,294,135,319,319,0.539
435,14.433,None,292,137,319,319,0.513
436,14.433,chair,162,262,212,319,0.492
437,14.433,chair,166,263,212,319,0.365
438,14.600,None,0,110,108,320,0.945
439,14.600,None,295,135,319,319,0.541
440,14.600,chair,166,263,212,319,0.527
441,14.600,None,292,136,320,319,0.496
442,14.600,chair,162,263,212,319,0.483
443,14.767,None,0,107,109,319,0.945
444,14.767,chair,165,263,212,319,0.571
445,14.767,None,295,135,319,319,0.540
446,14.767,None,292,136,320,319,0.491
447,14.900,None,0,103,111,319,0.948
448,14.900,None,295,135,319,319,0.534
449,14.900,chair,166,263,212,319,0.527
450,14.900,None,293,136,320,320,0.492
451,15.033,None,0,98,112,319,0.949
452,15.033,chair,166,263,212,319,0.552
453,15.033,None,295,135,319,319,0.552
454,15.033,None,293,136,320,320,0.479
455,15.167,None,0,93,113,319,0.952
456,15.167,None,296,135,319,319,0.566
457,15.167,None,293,136,320,320,0.473
458,15.167,chair,162,263,211,319,0.442
459,15.167,chair,169,263,212,319,0.428
460,15.333,None,0,87,113,319,0.952
461,15.333,None,297,135,319,319,0.557
462,15.333,None,293,136,320,320,0.483
463,15.333,chair,168,263,212,319,0.476
464,15.333,chair,162,263,211,319,0.457
465,15.500,None,0,83,113,319,0.951
466,15.500,None,296,135,319,319,0.550
467,15.500,None,293,136,320,319,0.494
468,15.500,chair,168,263,212,319,0.480
469,15.500,chair,162,263,211,319,0.462
470,15.667,None,0,77,113,319,0.949
471,15.667,None,296,135,319,320,0.546
472,15.667,None,293,137,320,320,0.500
473,15.667,chair,162,263,211,319,0.444
474,15.667,chair,169,263,212,319,0.433
475,15.833,None,0,73,113,319,0.951
476,15.833,None,297,135,319,320,0.520
477,15.833,None,293,136,320,320,0.483
478,15.833,chair,163,263,211,319,0.440
479,15.833,chair,169,263,212,319,0.421
480,16.000,None,0,67,112,319,0.947
481,16.000,None,297,135,319,320,0.500
482,16.000,None,293,136,320,320,0.488
483,16.000,chair,163,263,211,319,0.429
484,16.000,chair,170,263,212,319,0.417
485,16.167,None,0,62,111,320,0.947
486,16.167,None,293,137,319,320,0.495
487,16.167,None,296,136,319,320,0.493
488,16.167,chair,163,263,211,319,0.446
489,16.167,chair,170,263,212,319,0.421
490,16.333,None,0,55,111,319,0.946
491,16.333,None,292,136,319,320,0.471
492,16.333,None,296,135,319,320,0.468
493,16.333,chair,163,263,211,319,0.445
494,16.333,chair,170,263,212,319,0.384
495,16.500,None,0,50,110,319,0.945
496,16.500,chair,166,263,212,319,0.529
497,16.500,None,297,134,319,320,0.459
498,16.500,None,293,136,319,320,0.458
499,16.633,None,0,44,109,319,0.941
500,16.633,chair,167,263,212,319,0.502
501,16.633,None,298,135,319,320,0.473
502,16.633,None,293,136,319,320,0.448
503,16.767,None,1,39,108,319,0.940
504,16.767,chair,167,263,212,319,0.481
505,16.767,None,297,134,319,320,0.471
506,16.767,None,292,135,319,320,0.448
507,16.900,None,2,34,107,319,0.940
508,16.900,None,301,135,319,319,0.480
509,16.900,chair,162,262,211,319,0.468
510,16.900,chair,169,263,212,319,0.412
511,16.900,None,294,136,319,320,0.382
512,17.067,None,2,30,106,319,0.940
513,17.067,chair,163,263,211,319,0.448
514,17.067,None,302,135,319,319,0.408
515,17.067,chair,169,263,212,319,0.388
516,17.200,None,2,27,104,319,0.936
517,17.200,chair,163,262,211,319,0.432
518,17.200,chair,170,263,212,319,0.367
519,17.300,None,3,26,103,319,0.935
520,17.300,chair,162,262,211,319,0.434
521,17.367,None,3,25,101,319,0.935
522,17.367,chair,162,262,211,319,0.424
523,17.433,None,3,25,100,319,0.938
524,17.433,chair,162,262,211,319,0.432
525,17.500,None,4,25,99,319,0.940
526,17.500,chair,162,263,211,319,0.445
527,17.500,None,290,230,319,319,0.351
528,17.600,None,6,24,98,319,0.926
529,17.600,None,290,234,319,319,0.448
530,17.600,chair,162,262,211,319,0.439
531,17.700,None,8,24,97,319,0.919
532,17.700,None,290,236,319,319,0.493
533,17.700,chair,162,262,211,319,0.466
534,17.800,None,9,23,97,319,0.917
535,17.800,chair,162,262,211,319,0.472
536,17.800,None,291,237,319,319,0.356
537,17.900,None,9,23,97,319,0.922
538,17.900,None,291,238,319,319,0.488
539,17.900,chair,162,262,211,319,0.460
540,18.000,None,10,24,98,319,0.924
541,18.000,None,291,239,319,319,0.726
542,18.000,chair,162,262,211,319,0.398
543,18.100,None,11,24,99,319,0.923
544,18.100,None,292,238,319,319,0.702
545,18.100,chair,162,262,211,319,0.393
546,18.200,None,13,26,99,319,0.922
547,18.200,None,292,238,319,319,0.699
548,18.200,chair,162,262,211,319,0.384
549,18.300,None,15,28,100,318,0.922
550,18.300,None,292,238,319,319,0.732
551,18.300,couch,0,253,24,319,0.431
552,18.300,chair,163,262,211,319,0.389
553,18.433,None,15,30,101,318,0.916
554,18.433,None,292,238,319,319,0.759
555,18.433,chair,163,262,211,319,0.397
556,18.533,None,19,33,102,319,0.909
557,18.533,None,292,238,319,319,0.739
558,18.533,chair,163,262,211,319,0.383
559,18.633,None,23,36,105,319,0.908
560,18.633,None,291,238,319,319,0.740
561,18.700,None,26,40,108,319,0.911
562,18.700,None,290,238,319,319,0.686
563,18.700,chair,0,255,28,319,0.409
564,18.800,None,30,44,111,316,0.922
565,18.800,None,290,238,319,319,0.679
566,18.800,chair,0,254,29,319,0.399
567,18.900,None,32,49,112,316,0.928
568,18.900,None,289,239,319,319,0.711
569,18.967,None,26,52,114,317,0.930
